,name,map_url,img_url,rating,total_review,address,city,category,about,keyword_category,latitude,longitude,id
0,Taman Kebagusan,https://www.google.com/maps/place/Taman+Kebagusan/data=!4m7!3m6!1s0x2e69edf840d67ca1:0xc964ba63937feafe!8m2!3d-6.3010192!4d106.82809!16s%2Fg%2F11gf9q789s!19sChIJoXzWQPjtaS4R_up_k2O6ZMk?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOdy9Db7IfWsv9XQTorzMdsaBE9R8Hy0myh7qaR=w408-h306-k-no,4.5,286.0,"MRXH+H6W, Jl. Kebagusan I, RT.9/RW.7, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",Kota Jakarta Selatan,"{""sampah"": ""12"", ""bermain"": ""11"", ""jogging"": ""10"", ""olahraga"": ""9"", ""warga"": ""8"", ""sore"": ""7"", ""toilet"": ""7"", ""skateboard"": ""6"", ""pagi"": ""6"", ""sejuk"": ""5""}","{""aksesibilitas"": ""pintu masuk khusus pengguna kursi roda"", ""fasilitas"": ""cocok untuk anak-anak, perosotan, toilet umum""}",['tempat wisata'],-6.30102,106.828,0
1,Inspektorat Daerah Kabupaten Kulon Progo,https://www.google.com/maps/place/Inspektorat+Daerah+Kabupaten+Kulon+Progo/data=!4m7!3m6!1s0x2e7afb22d4d4828f:0xd73dcae2194be974!8m2!3d-7.8572567!4d110.1635931!16s%2Fg%2F1pzq59xt5!19sChIJj4LU1CL7ei4RdOlLGeLKPdc?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOCL1l1u4V9PZhMVFPoRPBItf5hGhZRlVn09f_P=w426-h240-k-no,4.1,8.0,"45V7+3CW, Jl. Sugiman Gang Bispa, Kemiri, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55611",Kabupaten Kulon Progo,{},{},['kegiatan'],-7.85726,110.164,1
2,Pantai Sentosa Seafood Market,https://www.google.com/maps/place/Pantai+Sentosa+Seafood+Market/data=!4m7!3m6!1s0x2e69f73f891e981d:0xacc7a43e281e245e!8m2!3d-6.1825571!4d106.7287368!16s%2Fg%2F11h7fv8gg3!19sChIJHZgeiT_3aS4RXiQeKD6kx6w?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOlbJW4egbXmS2HocnLt2KM13Z7yDyxUpDkLf0=w408-h306-k-no,4.5,2654.0,"Jl. Lkr. Luar Barat No.23, RW.1, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",Kota Jakarta Barat,"{""sambal"": ""51"", ""diskon"": ""32"", ""makanan_segar"": ""27"", ""udang_goreng"": ""25"", ""tim"": ""25"", ""bumbu"": ""18"", ""saus_padang"": ""11"", ""cuci_tangan"": ""8"", ""bawal"": ""7""}","{""opsi_layanan"": ""antar tanpa bertemu, pesan antar, bawa pulang, makan di tempat"", ""aksesibilitas"": ""kursi khusus pengguna kursi roda, pintu masuk khusus pengguna kursi roda"", ""penawaran"": ""kopi, makanan halal"", ""pilihan_makan"": ""sarapan, brunch, makan siang, makan malam, hidangan penutup"", ""fasilitas"": ""cocok untuk anak-anak, toilet"", ""suasana"": ""santai"", ""tipe_pengunjung"": ""berkelompok"", ""perencanaan"": ""menerima reservasi""}",['tempat makan'],-6.18256,106.729,2
3,Taman kebagusan raya,https://www.google.com/maps/place/Taman+kebagusan+raya/data=!4m7!3m6!1s0x2e69edeefd92fe41:0x13b6d1ceb8bec7ad!8m2!3d-6.3260835!4d106.8237893!16s%2Fg%2F11h_bnmf8m!19sChIJQf6S_e7taS4Rrce-uM7RthM?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOlyUSgVzwcmGInqSB6m9cicSArRCORBq1ixrzm=w408-h544-k-no,4.8,4.0,"Jl. Kebagusan Raya No.75 H, RT.13/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610",Kota Jakarta Selatan,{},"{""fasilitas"": ""cocok untuk anak-anak""}",['tempat wisata'],-6.32608,106.824,3
4,Pulau Ayer,https://www.google.com/maps/place/Pulau+Ayer/data=!4m7!3m6!1s0x2e6a744cdbf3983b:0x81e47cbc3452d822!8m2!3d-5.7636111!4d106.5830556!16s%2Fg%2F11b_2kky_1!19sChIJO5jz20x0ai4RIthSNLx85IE?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNU_yrGj4E16vGxCe9C071nGCFcB7cXMLcE8t4m=w408-h306-k-no,4.6,48.0,"Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia",Kabupaten Kepulauan Seribu,"{""snorkling"": ""4""}",{},['kegiatan'],-5.76361,106.583,4
5,Panti Jompo Karya Kasih,https://www.google.com/maps/place/Panti+Jompo+Karya+Kasih/data=!4m7!3m6!1s0x2e69f43664101601:0xbf650b93f78a92f4!8m2!3d-6.1819764!4d106.8388761!16s%2Fg%2F11g6bstrfm!19sChIJARYQZDb0aS4R9JKK95MLZb8?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPL-huV_ZjhzZbnHKGRwvUmzVezpG4T-hC5yUoC=w480-h240-k-no,4.4,18.0,"Jl. Kramat Kwitang I A No.10, RT.5/RW.4, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",Kota Jakarta Pusat,{},{},['kegiatan'],-6.18198,106.839,5
6,Arka Coffee and Space,https://www.google.com/maps/place/Arka+Coffee+and+Space/data=!4m7!3m6!1s0x2e7a57fd1b7b39cb:0xb5d29267d6c87e3e!8m2!3d-7.8101671!4d110.3603694!16s%2Fg%2F11sq4trpnv!19sChIJyzl7G_1Xei4RPn7I1meS0rU?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOQERXsIUcxljReM_F_kyO7ebjv5ju3gLyx_4t_=w408-h508-k-no,4.9,361.0,"Jl. Taman Sari No.1/310, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133, Indonesia",Kota Yogyakarta,"{""toko_buku"": ""11"", ""taman"": ""9"", ""standar"": ""7"", ""kerja"": ""7"", ""strategis"": ""7"", ""wisata"": ""6"", ""colokan"": ""5"", ""area"": ""5"", ""santai"": ""5"", ""toilet"": ""5""}","{""opsi_layanan"": ""tempat duduk di area terbuka, pesan antar, bawa pulang, makan di tempat"", ""No aksesibilitas"": ""kursi khusus pengguna kursi roda, tempat parkir khusus pengguna kursi roda"", ""penawaran"": ""kopi"", ""pilihan_makan"": ""hidangan penutup, tempat duduk"", ""fasilitas"": ""cocok untuk anak-anak, toilet"", ""suasana"": ""nyaman, santai"", ""tipe_pengunjung"": ""berkelompok"", ""perencanaan"": ""menerima reservasi""}",['kegiatan'],-7.81017,110.36,6
7,Kabupaten Kulon Progo,https://www.google.com/maps/place/Kabupaten+Kulon+Progo/data=!4m7!3m6!1s0x2e7ae554b4872e5d:0x3027a76e352bbf0!8m2!3d-7.8266798!4d110.1640846!16zL20vMDN4NGZr!19sChIJXS6HtFTlei4R8LtS43Z6AgM?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPAReE0P0HVVHsPNzUdJq-GmMrSbna9TTXwqykc=w426-h240-k-no,,,,Kabupaten Kulon Progo,{},{},['kegiatan'],-7.82668,110.164,7
8,Penginapan Backpacker Bantul,https://www.google.com/maps/place/Penginapan+Backpacker+Bantul/data=!4m7!3m6!1s0x2e7af8abb9028c45:0xb5fa45c78105456d!8m2!3d-7.8765998!4d110.3269102!16s%2Fg%2F11g890vv97!19sChIJRYwCuav4ei4RbUUFgcdF-rU?authuser=0&hl=id&rclk=1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jrgm3a3FzFjZ0XQtZcjMlA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.29343&pitch=0&thumbfov=100,5.0,3.0,"48FG+9Q7, Jl. Kyai Ageng Teram, Teruman, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711",Kabupaten Bantul,{},{},['penginapan'],-7.8766,110.327,8
9,ARTOTEL Suites Bianti - Yogyakarta,https://www.google.com/maps/place/ARTOTEL+Suites+Bianti+-+Yogyakarta/data=!4m7!3m6!1s0x2e7a5955cc7abbdb:0x1415c79b7cf6a048!8m2!3d-7.7828894!4d110.3819162!16s%2Fg%2F11sgz2rygm!19sChIJ27t6zFVZei4RSKD2fJvHFRQ?authuser=0&hl=id&rclk=1,https://lh5.googleusercontent.com/p/AF1QipN5aJOuXtdfolzzDkfoQPTdOQq6l8ngbxAjRLKE=w426-h240-k-no,4.8,1124.0,"Jl. Urip Sumoharjo No.37, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",Kota Yogyakarta,{},{},['kegiatan'],-7.78289,110.382,9
