id,name,map_url,img_url,rating,total_review,pricing,address,city,category,about,opening_hours,keyword_category
641e20a9-e562-499b-914a-5fdb2ac2d84e,Wisata Kali Gajah Wong Mrican Giwangan,https://www.google.com/maps/place/Wisata+Kali+Gajah+Wong+Mrican+Giwangan/data=!4m7!3m6!1s0x2e7a571c6efb47ad:0x9f88b30f2819abae!8m2!3d-7.8311337!4d110.3941846!16s%2Fg%2F11c5bhfs47!19sChIJrUf7bhxXei4RrqsZKA-ziJ8?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNhZ7-JtjpN8Ra2lTA-H7i0E_A238zhBjs0JPdB=w426-h240-k-no,4.6,2930,,"599V+GMV, Mrican, Giwangan, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55163, Indonesia",Kota Yogyakarta,"{""fish_food"": ""42"", ""2000"": ""37"", ""environment"": ""34"", ""fish_pond"": ""27"", ""ditch"": ""25"", ""nile_tilapia"": ""18"", ""washing_hands"": ""18"", ""gazebo"": ""18"", ""dam"": ""18"", ""drinking_glass"": ""15""}","{""description"": ""visitor center on an urban stream, offering pellets to feed the fish & boat cruises."", ""amenities"": ""good for kids""}",{},"[""tempat wisata""]"
a02f04d1-c632-4d29-a1c4-5bf97811aa41,Tarunasura Wijilan Gate,https://www.google.com/maps/place/Tarunasura+Wijilan+Gate/data=!4m7!3m6!1s0x2e7a57857fe29537:0x54d25418549f2062!8m2!3d-7.8038148!4d110.3666102!16s%2Fg%2F1hm5mswx6!19sChIJN5Xif4VXei4RYiCfVBhU0lQ?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPVfdWaP1q969nUd5RFPafEjRwUgYGLVPaMLXHO=w408-h408-k-no,4.7,432,,"59W8+FJH, Jl. Wijilan, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131, Indonesia",Kota Yogyakarta,"{""gudeg"": ""58"", ""the_palace_of_yogyakarta"": ""20"", ""region"": ""13"", ""fort"": ""7"", ""vehicles"": ""5"", ""warung"": ""5"", ""cultural_property"": ""4"", ""congested"": ""4"", ""gopuram"": ""3""}","{""amenities"": ""good for kids""}",{},"[""tempat wisata""]"
aaf158b8-adb6-4e5d-92fe-c57038847404,Pondok Rasa Teras cipayung,https://www.google.com/maps/place/Pondok+Rasa+Teras+cipayung/data=!4m7!3m6!1s0x2e69ed68da299eff:0x97057f59d0ff2937!8m2!3d-6.3319103!4d106.8882742!16s%2Fg%2F11c49_n0ph!19sChIJ_54p2mjtaS4RNyn_0Fl_BZc?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMrjAI51tHokrJOYUnCKjwHIF5-Yh7CIRTbrBw9=w533-h240-k-no,4.4,812,,"Teras, depan McD, Jl. Cipayung Raya No.69, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840, Indonesia",Kota Jakarta Timur,"{""price"": ""38"", ""area"": ""17"", ""mie_aceh"": ""14"", ""parking"": ""9"", ""strategic"": ""9"", ""food_court"": ""8"", ""motorcycle"": ""7"", ""standards"": ""6"", ""toilet"": ""5"", ""satay"": ""5""}","{""from_the_business"": ""identifies as women-owned"", ""service_options"": ""curbside pickup, no-contact delivery, delivery, takeout, dine-in"", ""offerings"": ""coffee, halal food"", ""dining_options"": ""lunch, dinner"", ""amenities"": ""good for kids"", ""atmosphere"": ""casual, cozy"", ""crowd"": ""groups"", ""payments"": ""cash-only, debit cards, nfc mobile payments, credit cards""}",{},
b0f4b14f-ad4c-4f76-b839-e694bc50dd96,AULA Masjid Nurussamaniyah,https://www.google.com/maps/place/AULA+Masjid+Nurussamaniyah/data=!4m7!3m6!1s0x2e69f66e319b062f:0x565655d36e9a0f82!8m2!3d-6.1636412!4d106.8051261!16s%2Fg%2F11cr_r45cj!19sChIJLwabMW72aS4Rgg-abtNVVlY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMZoB_coFQmuGe5YysgNu5nTJz_zOpPL70i3i7Z=w408-h306-k-no,4.7,339,,"Jl. Cibunar Raya No.1, RT.1/RW.3, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140, Indonesia",Kota Jakarta Pusat,"{""area"": ""41"", ""mosque"": ""18"", ""parking"": ""16"", ""event"": ""4"", ""ibadah"": ""3"", ""price"": ""3"", ""room"": ""3""}","{""accessibility"": ""wheelchair accessible entrance""}",{},"[""kegiatan"", ""tempat wisata""]"
c0e9cc98-0c13-4421-af3f-da75d455e006,Kali Boyong Camp Outbound,https://www.google.com/maps/place/Kali+Boyong+Camp+Outbound/data=!4m7!3m6!1s0x2e7a5e435eb96abd:0x839408cb7f357efb!8m2!3d-7.6602788!4d110.3967689!16s%2Fg%2F11c4jfg8dd!19sChIJvWq5XkNeei4R-341f8sIlIM?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMo3MAAA3PAHUbBouuzV1Dt4ddhcoCgqNaL9kIt=w408-h271-k-no,4.1,476,,"Jl. Raya Turi No.KM.3, Pakisaji, Candibinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia",Kabupaten Sleman,"{""outdoor_education"": ""32"", ""family"": ""17"", ""cold"": ""16"", ""area"": ""16"", ""games"": ""11"", ""camping"": ""7"", ""public_service"": ""7"", ""price"": ""6"", ""pond"": ""5"", ""nature"": ""5""}","{""amenities"": ""good for kids""}",{},"[""tempat wisata"", ""things to do""]"
69d4015c-fae4-4169-9da8-4fa2f885cbd3,The Sultan Hotel & Residence Jakarta,https://www.google.com/maps/place/The+Sultan+Hotel+%26+Residence+Jakarta/data=!4m10!3m9!1s0x2e69f15329c607c1:0x42bee1db200b445!5m2!4m1!1i2!8m2!3d-6.218217!4d106.809058!16s%2Fg%2F1w02h12t!19sChIJwQfGKVPxaS4RRbQAsh3uKwQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HXYSYg1DT2Qxw4haPkCMGBZmE4XXsqHcAEk-OttAI8JVUX8A2dtubOVXWcoodJ3OzCNhJe8c3OIHXi3PdT2ooaTTrTCVe1Z0DR9elAoDMPMVMriA_ErHkgeagFOg4xgnB1TNl_EcS02n2HyVijcQ2HdZlxpwcfO5vimcBzLV39p4nDgf5nYBzH=w408-h270-k-no,4.6,13863,,"Jl. Gatot Subroto, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",Kota Jakarta Selatan,{},{},{},
f0c43845-8645-44f6-b011-da2d2a60471d,Wisma Lamida 2 Syariah,https://www.google.com/maps/place/Wisma+Lamida+2+Syariah/data=!4m10!3m9!1s0x2e69f4ec020079e9:0xdb625886761147fe!5m2!4m1!1i2!8m2!3d-6.189826!4d106.8824004!16s%2Fg%2F11fj9htql1!19sChIJ6XkAAuz0aS4R_kcRdoZYYts?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMSb7E44NwEdEOocsiO3omJyZbQuAT1SoPcLQti=w408-h272-k-no,3.5,45,,"Jl. Bangunan Barat No.35, RT.8/RW.4, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210, Indonesia",Kota Jakarta Timur,{},{},{},"[""penginapan""]"
266a1e77-d7a9-4dde-a1ef-8890adcb83dd,Pelabuhan Sunda Kelapa Jakarta,https://www.google.com/maps/place/Pelabuhan+Sunda+Kelapa+Jakarta/data=!4m7!3m6!1s0x2e6a1de1357c38ab:0x1f3e51326d2b80cd!8m2!3d-6.1194021!4d106.8120938!16s%2Fg%2F1jkxm4j5x!19sChIJqzh8NeEdai4RzYArbTJRPh8?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPHYuze5EHAG-1PJTSbfGHGJkYTZ5qORx2NpMP4=w408-h272-k-no,4.3,108,,"Ancol, Pademangan, North Jakarta City, Jakarta, Indonesia",Jakarta Utara,"{""photo"": ""10"", ""hunting"": ""5"", ""tourism"": ""5"", ""wooden"": ""4"", ""afternoon"": ""4"", ""fish_market"": ""3"", ""car"": ""3""}","{""description"": ""bustling historic port where traditional wood sailing ships called pinisi are docked."", ""amenities"": ""restroom""}",{},
70797a58-b7e7-41b4-91e5-7c169bb0d0ca,Tsurukamedou Ramen,https://www.google.com/maps/place/Tsurukamedou+Ramen/data=!4m7!3m6!1s0x2e69f652cc9bb011:0x70898caa3fab9462!8m2!3d-6.1698004!4d106.7695503!16s%2Fg%2F1jkytb1l_!19sChIJEbCbzFL2aS4RYpSrP6qMiXA?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipN3yL1lTlBghx3J9xfr7oBSvNpfACRQYIbsQ5Ps=w408-h544-k-no,4.2,818,Moderate,"Jl. Ratu Kemuning Raya, Jakarta No.8A, RT.12/RW.13, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",Kota Jakarta Barat,"{""broth"": ""57"", ""tonkotsu_ramen"": ""46"", ""parking"": ""36"", ""gravy"": ""35"", ""waiter"": ""19"", ""halal"": ""16"", ""grilled"": ""10"", ""pork_ramen"": ""8"", ""mall"": ""7"", ""plush"": ""5""}","{""description"": ""retoran dengan interior minimalis khas jepang menyajikan tonkatsu ramen dengan original resep."", ""service_options"": ""no-contact delivery, delivery, takeout, dine-in"", ""highlights"": ""fast service"", ""accessibility"": ""wheelchair accessible entrance"", ""No accessibility"": ""wheelchair accessible parking lot, wheelchair accessible restroom"", ""offerings"": ""kids' menu, quick bite"", ""dining_options"": ""brunch, lunch, dinner, dessert"", ""amenities"": ""good for kids, restroom, wi-fi, free wi-fi"", ""atmosphere"": ""casual, cozy"", ""crowd"": ""family-friendly, groups"", ""planning"": ""accepts reservations"", ""payments"": ""debit cards, nfc mobile payments, credit cards""}",{},"[""tempat makan""]"
f1ff1332-620c-46b8-94dd-14b80fc91fad,Gudeg Kangen Mbah Manto Gejayan,https://www.google.com/maps/place/Gudeg+Kangen+Mbah+Manto+Gejayan/data=!4m7!3m6!1s0x2e7a59a4148e3deb:0x34b7c299340a0508!8m2!3d-7.7597627!4d110.3952416!16s%2Fg%2F11c5sbcbzj!19sChIJ6z2OFKRZei4RCAUKNJnCtzQ?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipM1m-FWU2lV7MZsBZIvsz5t1SpTxhJTLe4KCtP4=w408-h306-k-no,4.7,823,Inexpensive,"Jl. Affandi No.15, RW.2, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",Kabupaten Sleman,"{""sweet"": ""74"", ""porridge"": ""56"", ""morning"": ""52"", ""krecek"": ""33"", ""length"": ""30"", ""patience"": ""25"", ""sidewalk"": ""14"", ""gas_station"": ""12"", ""south"": ""11"", ""north"": ""10""}","{""service_options"": ""outdoor seating, takeout, dine-in"", ""No accessibility"": ""wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible seating"", ""offerings"": ""halal food"", ""dining_options"": ""breakfast, dinner, seating"", ""amenities"": ""good for kids"", ""atmosphere"": ""casual"", ""payments"": ""cash-only""}",{},"[""tempat makan""]"
